x1,x2,y
-5.246476862003595,-0.26720697381507286,-1.0
-3.205511818980007,-6.160842365001107,-1.0
4.516511928648539,1.8003068888913631,1.0
-9.151647972385842,7.224016573307502,1.0
-6.60155113316778,1.2424227052187025,-1.0
-9.073168067982289,3.753098167609526,1.0
2.4309163512346004,6.551194371120857,1.0
-6.489534375074126,7.225753874170177,1.0
3.1565723847307776,7.5602694938584385,1.0
-8.304323659972823,-0.3054655942852449,-1.0
-5.7060858869986975,7.420894600371394,1.0
2.5195375370568396,-4.9420507697028615,-1.0
6.3688441470817345,0.4669333816509287,1.0
6.394968116779015,-2.4451164904505713,1.0
6.004342911740434,9.49013801687116,1.0
-4.905352814973327,6.995609967803549,1.0
9.596451973323457,6.883809535773608,1.0
-4.90847153444367,3.390154452240516,1.0
1.0280638720917956,5.27336365960724,1.0
-9.08680390888218,-8.614224194204226,-1.0
-1.7287779236436496,-6.561405438350705,-1.0
-7.183287795537345,-5.625155361363017,-1.0
-0.2533583783507858,-9.967713829208705,-1.0
-4.008566005120031,1.9873810853981961,1.0
-6.885060757945176,-7.247212072424382,-1.0
-7.97216071588851,6.358949682047257,1.0
5.905981764070795,-5.960587969108408,-1.0
-6.063111447175693,0.1293412625453172,-1.0
8.515602563525803,4.1788739202870175,1.0
-0.3817750121348098,-8.254922709016363,-1.0
-5.6297160354718745,1.359518002428345,-1.0
-3.92302122378789,-1.874800264558278,-1.0
1.170949965909191,5.338526219047674,1.0
-1.8772661492894454,-8.299443592333642,-1.0
-9.392892916209938,5.013561786279583,1.0
4.9869581307739885,-1.0952314298382113,1.0
-1.5272609677166749,-6.239053185939478,-1.0
6.948403943020921,7.104997187141162,1.0
9.27871031122362,6.70327561474425,1.0
3.675446757976628,-5.729555986251233,-1.0
-9.993605479838356,-8.201808602231644,-1.0
-3.816733857798022,-8.633485644718686,-1.0
4.1194976643221075,-0.3066872564461658,1.0
-2.621208761185563,7.358283421983749,1.0
-0.35049189284454485,-6.406374428222916,-1.0
-8.15446966836962,-7.3411855787274805,-1.0
-5.882394960770818,-3.9353975454105017,-1.0
-6.875741486727341,-9.583024971664004,-1.0
7.904467204981245,3.0287527619748094,1.0
-0.13363986205613188,-0.16661990916450264,1.0
9.618494925419519,-7.017322992208044,-1.0
3.2125999652153716,6.196715814689394,1.0
-2.5732810812473588,4.154622811926952,1.0
7.558248096561499,-9.939475953061272,-1.0
9.652368046621994,-9.0888004879378,-1.0
-7.352927898441939,2.4220759342637894,-1.0
-7.218063582509393,-5.523736935345465,-1.0
-1.0386304882810258,-4.44054969921736,-1.0
0.4863263558380986,-9.43470937634144,-1.0
6.636789085997972,6.16801007818389,1.0
-9.810249608295416,-1.702543923844921,-1.0
5.732431760099065,-0.3378027362573892,1.0
-7.362458658502695,9.44562871987361,1.0
4.954568398654107,9.38911932676763,1.0
-4.677634240695077,-5.204538409488273,-1.0
2.774386361838845,9.670150868078128,1.0
1.0070184908896707,2.41488341520796,1.0
-2.6754815227912143,4.638318604279979,1.0
0.7315687674986933,1.3367795210703157,1.0
3.873106556047091,2.5734666280561758,1.0
-0.04324100929952479,-2.9511763770181503,-1.0
9.758610996864,-8.822455250110613,-1.0
-0.8815426310371706,-9.302778924399277,-1.0
-4.25808541846064,-1.7773763860445317,-1.0
4.329896891714666,-5.246224957477272,-1.0
-2.2188894447922403,-8.31168576301905,-1.0
-2.096803659624788,5.0886600372591335,1.0
8.61420301328447,-5.739726716924059,-1.0
2.158040632893229,5.002547220729712,1.0
5.355099850128775,-9.054283678506415,-1.0
8.143780382088146,7.260932932343572,1.0
8.18225814769212,5.153620484714082,1.0
9.602218482846595,-7.231995567385083,-1.0
3.0505266479268496,9.399864423767024,1.0
-7.330109725615781,7.814850309993567,1.0
-0.20469714314106469,-7.745976014015607,-1.0
-8.873655889874108,-3.162134252661037,-1.0
-7.946837496576855,1.8231061071767662,-1.0
8.070097155989945,2.3495675194312398,1.0
-7.608446413668095,3.3581107182501633,1.0
-9.858994486189555,6.328459697467075,1.0
-9.793739020345384,2.0810080783815277,-1.0
-0.880375477661099,4.232051444916927,1.0
-6.386808549306204,-3.24521383756029,-1.0
-8.700298314048212,3.6719120224210915,1.0
9.612894850010221,6.083079222802159,1.0
-6.7159697857352585,-1.0180828335650496,-1.0
4.212391258276703,5.307467982060267,1.0
-7.5424766984772535,3.3338506035024267,1.0
0.22907138232824664,2.148676944779698,1.0
